1	Слушай	слушать	VERB	_	Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	0	root	_	SpacesAfter=\n|TokenRange=0:6
47	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	45	conj	_	SpacesAfter=\n|TokenRange=205:212
48	/	/	PUNCT	_	_	51	punct	_	SpacesAfter=\n|TokenRange=213:214
49	чё	че	PRON	_	_	51	obj	_	SpacesAfter=\n|TokenRange=215:217
50	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	51	nsubj	_	SpacesAfter=\n|TokenRange=218:220
51	врёте	врет	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	47	ccomp	_	SpacesAfter=\n|TokenRange=221:226
52	Вот	вот	PART	_	_	51	advmod	_	SpacesAfter=\n|TokenRange=227:230
53	школа	школа	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	51	nsubj	_	SpacesAfter=\n|TokenRange=231:236
54	/	/	PUNCT	_	_	62	punct	_	SpacesAfter=\n|TokenRange=237:238
55	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	62	nsubj	_	SpacesAfter=\n|TokenRange=239:242
56	тот	тот	DET	_	Case=Acc|Gender=Masc|Number=Sing	57	det	_	SpacesAfter=\n|TokenRange=243:246
57	период	период	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	62	obl	_	SpacesAfter=\n|TokenRange=247:253
58	который	который	PRON	_	Case=Acc	62	obj	_	SpacesAfter=\n|TokenRange=254:261
59	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	62	nsubj	_	SpacesAfter=\n|TokenRange=262:263
60	вообще	вообще	ADV	_	Degree=Pos	62	advmod	_	SpacesAfter=\n|TokenRange=264:270
61	не	не	PART	_	_	62	advmod	_	SpacesAfter=\n|TokenRange=271:273
62	вспоминаю	вспоминать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	53	parataxis	_	SpacesAfter=\n|TokenRange=274:283
63	ни	ни	PART	_	_	64	advmod	_	SpacesAfter=\n|TokenRange=284:286
64	одн	оин	DET	_	Case=Gen|Degree=Pos|Gender=Fem|Number=Sing	62	obl	_	SpacesAfter=\n|TokenRange=287:290
65	.	.	PUNCT	_	_	64	punct	_	SpacesAfter=\n|TokenRange=291:292
66	.	.	PUNCT	_	_	64	punct	_	SpacesAfter=\n|TokenRange=293:294
67	/	/	PUNCT	_	_	76	punct	_	SpacesAfter=\n|TokenRange=295:296
68	ну	ну	PART	_	_	76	parataxis	_	SpacesAfter=\n|TokenRange=297:299
69	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	76	mark	_	SpacesAfter=\n|TokenRange=300:302
70	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	69	fixed	_	SpacesAfter=\n|TokenRange=303:307
71	не	не	PART	_	_	76	advmod	_	SpacesAfter=\n|TokenRange=308:310
72	потому	потому	ADV	_	Degree=Pos	76	mark	_	SpacesAfter=\n|TokenRange=311:317
73	что	что	SCONJ	_	_	72	fixed	_	SpacesAfter=\n|TokenRange=318:321
74	она	она	PRON	_	Case=Nom|Gender=Fem|Number=Sing|Person=3	76	nsubj	_	SpacesAfter=\n|TokenRange=322:325
75	была	быть	AUX	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	76	cop	_	SpacesAfter=\n|TokenRange=326:330
76	плохая	плохой	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	144	parataxis	_	SpacesAfter=\n|TokenRange=331:337
77	/	/	PUNCT	_	_	84	punct	_	SpacesAfter=\n|TokenRange=338:339
78	но	но	CCONJ	_	_	84	cc	_	SpacesAfter=\n|TokenRange=340:342
79	потому	потому	ADV	_	Degree=Pos	84	mark	_	SpacesAfter=\n|TokenRange=343:349
80	что	что	SCONJ	_	_	79	fixed	_	SpacesAfter=\n|TokenRange=350:353
81	хорошего	хороший	ADJ	_	Case=Gen|Degree=Pos|Gender=Neut|Number=Sing	84	nsubj	_	SpacesAfter=\n|TokenRange=354:362
82	там	там	ADV	_	Degree=Pos	84	advmod	_	SpacesAfter=\n|TokenRange=363:366
83	особо	особо	ADV	_	Degree=Pos	84	advmod	_	SpacesAfter=\n|TokenRange=367:372
84	нет	нет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=373:376
85	/	/	PUNCT	_	_	91	punct	_	SpacesAfter=\n|TokenRange=377:378
86	/	/	PUNCT	_	_	91	punct	_	SpacesAfter=\n|TokenRange=379:380
87	То	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	91	mark	_	SpacesAfter=\n|TokenRange=381:383
88	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	87	fixed	_	SpacesAfter=\n|TokenRange=384:388
89	это	это	PART	_	_	91	expl	_	SpacesAfter=\n|TokenRange=389:392
90	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	91	nsubj	_	SpacesAfter=\n|TokenRange=393:395
91	находишься	находиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Mid	76	conj	_	SpacesAfter=\n|TokenRange=396:406
92	/	/	PUNCT	_	_	93	punct	_	SpacesAfter=\n|TokenRange=407:408
93	а	а	X	_	Foreign=Yes	91	parataxis	_	SpacesAfter=\n|TokenRange=409:410
94	.	.	PUNCT	_	_	276	punct	_	SpacesAfter=\n|TokenRange=411:412
95	.	.	PUNCT	_	_	276	punct	_	SpacesAfter=\n|TokenRange=413:414
96	.	.	PUNCT	_	_	276	punct	_	SpacesAfter=\n|TokenRange=415:416
97	/	/	PUNCT	_	_	100	punct	_	SpacesAfter=\n|TokenRange=417:418
98	каждое	каждый	DET	_	Case=Acc|Gender=Neut|Number=Sing	99	det	_	SpacesAfter=\n|TokenRange=419:425
99	утро	утро	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	100	obl	_	SpacesAfter=\n|TokenRange=426:430
100	встаёшь	встать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=431:438
101	в	в	ADP	_	_	103	case	_	SpacesAfter=\n|TokenRange=439:440
102	хренову	хренов	ADJ	_	Case=Acc|Degree=Pos|Gender=Fem|Number=Sing	103	amod	_	SpacesAfter=\n|TokenRange=441:448
103	рань	рань	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	100	obl	_	SpacesAfter=\n|TokenRange=449:453
104	/	/	PUNCT	_	_	347	punct	_	SpacesAfter=\n|TokenRange=454:455
105	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	111	nsubj	_	SpacesAfter=\n|TokenRange=456:458
106	в	в	ADP	_	_	109	case	_	SpacesAfter=\n|TokenRange=459:460
107	эту	этот	DET	_	Case=Acc|Gender=Fem|Number=Sing	109	det	_	SpacesAfter=\n|TokenRange=461:464
108	хренову	хренова	ADJ	_	Case=Acc|Degree=Pos|Gender=Fem|Number=Sing	109	amod	_	SpacesAfter=\n|TokenRange=465:472
109	рань	рань	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	111	obl	_	SpacesAfter=\n|TokenRange=473:477
110	куда-то	куда-то	ADV	_	Degree=Pos	111	advmod	_	SpacesAfter=\n|TokenRange=478:485
111	идёшь	идти	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=486:491
112	/	/	PUNCT	_	_	114	punct	_	SpacesAfter=\n|TokenRange=492:493
113	/	/	PUNCT	_	_	181	punct	_	SpacesAfter=\n|TokenRange=494:495
114	а	а	X	_	_	91	parataxis	_	SpacesAfter=\n|TokenRange=496:497
115	.	.	PUNCT	_	_	181	punct	_	SpacesAfter=\n|TokenRange=498:499
116	.	.	PUNCT	_	_	114	punct	_	SpacesAfter=\n|TokenRange=500:501
117	/	/	PUNCT	_	_	121	punct	_	SpacesAfter=\n|TokenRange=502:503
118	в	в	ADP	_	_	121	case	_	SpacesAfter=\n|TokenRange=504:505
119	какой-то	какой-то	DET	_	Case=Acc|Gender=Neut|Number=Sing	121	det	_	SpacesAfter=\n|TokenRange=506:514
120	потенциальное	потенциальный	ADJ	_	Case=Acc|Degree=Pos|Gender=Neut|Number=Sing	121	amod	_	SpacesAfter=\n|TokenRange=515:528
121	унижение	унижение	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	76	conj	_	SpacesAfter=\n|TokenRange=529:537
122	/	/	PUNCT	_	_	128	punct	_	SpacesAfter=\n|TokenRange=538:539
123	потому	потому	ADV	_	Degree=Pos	128	mark	_	SpacesAfter=\n|TokenRange=540:546
124	что	что	SCONJ	_	_	123	fixed	_	SpacesAfter=\n|TokenRange=547:550
125	даже	даже	PART	_	_	128	advmod	_	SpacesAfter=\n|TokenRange=551:555
126	если	если	SCONJ	_	_	128	mark	_	SpacesAfter=\n|TokenRange=556:560
127	у	у	ADP	_	_	128	case	_	SpacesAfter=\n|TokenRange=561:562
128	тебя	ты	PRON	_	Case=Gen|Number=Sing|Person=2	51	advcl	_	SpacesAfter=\n|TokenRange=563:567
129	самая	самый	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	130	amod	_	SpacesAfter=\n|TokenRange=568:573
130	классная	классный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	131	amod	_	SpacesAfter=\n|TokenRange=574:582
131	школа	школа	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	128	nsubj	_	SpacesAfter=\n|TokenRange=583:588
132	на	на	ADP	_	_	133	case	_	SpacesAfter=\n|TokenRange=589:591
133	земле	земля	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	131	nmod	_	SpacesAfter=\n|TokenRange=592:597
134	/	/	PUNCT	_	_	128	punct	_	SpacesAfter=\n|TokenRange=598:599
135	всё	все	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	138	advmod	_	SpacesAfter=\n|TokenRange=600:603
136	равно	равный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	135	fixed	_	SpacesAfter=\n|TokenRange=604:609
137	там	там	ADV	_	Degree=Pos	62	advmod	_	SpacesAfter=\n|TokenRange=610:613
138	будет	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=614:619
139	какая-то	какой-то	DET	_	Case=Nom|Gender=Fem|Number=Sing	140	det	_	SpacesAfter=\n|TokenRange=620:628
140	стачка	стачка	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	62	nsubj	_	SpacesAfter=\n|TokenRange=629:635
141	на	на	ADP	_	_	142	case	_	SpacesAfter=\n|TokenRange=636:638
142	остальных	остальной	ADJ	_	Animacy=Anim|Case=Acc|Degree=Pos|Number=Plur	140	obl	_	SpacesAfter=\n|TokenRange=639:648
143	#	#	PUNCT	_	_	64	punct	_	SpaceAfter=No|TokenRange=649:650
144	нрзб	нрзб	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	62	parataxis	_	SpaceAfter=No|TokenRange=650:654
145	#	#	PUNCT	_	_	144	punct	_	SpacesAfter=\n|TokenRange=654:655
146	/	/	PUNCT	_	_	148	punct	_	SpacesAfter=\n|TokenRange=656:657
147	/	/	PUNCT	_	_	148	punct	_	SpacesAfter=\n|TokenRange=658:659
148	вот	вот	PART	_	_	149	advmod	_	SpacesAfter=\n|TokenRange=660:663
149	кстати	кстати	ADV	_	Degree=Pos	158	parataxis	_	SpacesAfter=\n|TokenRange=664:670
150	/	/	PUNCT	_	_	154	punct	_	SpacesAfter=\n|TokenRange=671:672
151	да	да	PART	_	_	76	parataxis	_	SpacesAfter=\n|TokenRange=673:675
152	/	/	PUNCT	_	_	154	punct	_	SpacesAfter=\n|TokenRange=676:677
153	тоже	тоже	PART	_	_	158	advmod	_	SpacesAfter=\n|TokenRange=678:682
154	вопрос	вопрос	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	76	nsubj	_	SpacesAfter=\n|TokenRange=683:689
155	нормальные	нормальный	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	158	amod	_	SpacesAfter=\n|TokenRange=690:700
156	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	158	mark	_	SpacesAfter=\n|TokenRange=701:703
157	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	156	fixed	_	SpacesAfter=\n|TokenRange=704:708
158	лыжи	лыжа	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	76	conj	_	SpacesAfter=\n|TokenRange=709:713
159	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	158	nsubj	_	SpacesAfter=\n|TokenRange=714:716
160	/	/	PUNCT	_	_	289	punct	_	SpacesAfter=\n|TokenRange=717:718
161	на	на	ADP	_	_	162	case	_	SpacesAfter=\n|TokenRange=719:721
162	лыжах	лыжа	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Plur	158	nmod	_	SpacesAfter=\n|TokenRange=722:727
163	нас	мы	PRON	_	Case=Acc|Number=Plur|Person=1	164	obj	_	SpacesAfter=\n|TokenRange=728:731
164	ставят	ставить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	158	conj	_	SpacesAfter=\n|TokenRange=732:738
165	/	/	PUNCT	_	_	171	punct	_	SpacesAfter=\n|TokenRange=739:740
166	а	а	CCONJ	_	_	171	cc	_	SpacesAfter=\n|TokenRange=741:742
167	душ	душа	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	84	obj	_	SpacesAfter=\n|TokenRange=743:746
168	нам	мы	PRON	_	Case=Dat|Number=Plur|Person=1	171	iobj	_	SpacesAfter=\n|TokenRange=747:750
169	поставить	ставить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	171	xcomp	_	SpacesAfter=\n|TokenRange=751:760
170	не	не	PART	_	_	171	advmod	_	SpacesAfter=\n|TokenRange=761:763
171	могут	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=764:769
172	/	/	PUNCT	_	_	276	punct	_	SpacesAfter=\n|TokenRange=770:771
173	/	/	PUNCT	_	_	91	punct	_	SpacesAfter=\n|TokenRange=772:773
174	обожаю	обожать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=774:780
175	ну	ну	PART	_	_	276	parataxis	_	SpacesAfter=\n|TokenRange=781:783
176	вот	вот	PART	_	_	276	advmod	_	SpacesAfter=\n|TokenRange=784:787
177	/	/	PUNCT	_	_	276	punct	_	SpacesAfter=\n|TokenRange=788:789
178	/	/	PUNCT	_	_	181	punct	_	SpacesAfter=\n|TokenRange=790:791
179	и	и	CCONJ	_	_	276	cc	_	SpacesAfter=\n|TokenRange=792:793
180	/	/	PUNCT	_	_	181	punct	_	SpacesAfter=\n|TokenRange=794:795
181	ээ	ээ	X	_	Foreign=Yes	323	appos	_	SpacesAfter=\n|TokenRange=796:798
182	.	.	PUNCT	_	_	276	punct	_	SpacesAfter=\n|TokenRange=799:800
183	.	.	PUNCT	_	_	276	punct	_	SpacesAfter=\n|TokenRange=801:802
184	.	.	PUNCT	_	_	181	punct	_	SpacesAfter=\n|TokenRange=803:804
185	/	/	PUNCT	_	_	189	punct	_	SpacesAfter=\n|TokenRange=805:806
186	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	189	nsubj	_	SpacesAfter=\n|TokenRange=807:810
187	тебе	ты	PRON	_	Case=Dat|Number=Sing|Person=2	189	iobj	_	SpacesAfter=\n|TokenRange=811:815
188	не	не	PART	_	_	189	advmod	_	SpacesAfter=\n|TokenRange=816:818
189	нравится	нравиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	282	parataxis	_	SpacesAfter=\n|TokenRange=819:827
190	/	/	PUNCT	_	_	193	punct	_	SpacesAfter=\n|TokenRange=828:829
191	и	и	CCONJ	_	_	193	cc	_	SpacesAfter=\n|TokenRange=830:831
192	с	с	ADP	_	_	193	case	_	SpacesAfter=\n|TokenRange=832:833
193	тобой	ты	PRON	_	Case=Ins|Number=Sing|Person=2	189	obl	_	SpacesAfter=\n|TokenRange=834:839
194	люди	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	189	nsubj	_	SpacesAfter=\n|TokenRange=840:844
195	в	в	ADP	_	_	196	case	_	SpacesAfter=\n|TokenRange=845:846
196	классе	класс	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	194	nmod	_	SpacesAfter=\n|TokenRange=847:853
197	/	/	PUNCT	_	_	347	punct	_	SpacesAfter=\n|TokenRange=854:855
198	которые	который	PRON	_	Case=Nom	347	nsubj	_	SpacesAfter=\n|TokenRange=856:863
199	/	/	PUNCT	_	_	347	punct	_	SpacesAfter=\n|TokenRange=864:865
200	ну	ну	PART	_	_	203	parataxis	_	SpacesAfter=\n|TokenRange=866:868
201	/	/	PUNCT	_	_	200	punct	_	SpacesAfter=\n|TokenRange=869:870
202	в	в	ADP	_	_	203	case	_	SpacesAfter=\n|TokenRange=871:872
203	большинстве	большинство	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	347	parataxis	_	SpacesAfter=\n|TokenRange=873:884
204	случаев	случай	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	203	nmod	_	SpacesAfter=\n|TokenRange=885:892
205	/	/	PUNCT	_	_	210	punct	_	SpacesAfter=\n|TokenRange=893:894
206	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	210	nsubj	_	SpacesAfter=\n|TokenRange=895:897
207	как	как	ADV	_	Degree=Pos	210	advmod	_	SpacesAfter=\n|TokenRange=898:901
208	бы	бы	PART	_	_	207	fixed	_	SpacesAfter=\n|TokenRange=902:904
209	/	/	PUNCT	_	_	181	punct	_	SpacesAfter=\n|TokenRange=905:906
210	знаешь	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=907:913
211	/	/	PUNCT	_	_	214	punct	_	SpacesAfter=\n|TokenRange=914:915
212	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	214	nsubj	_	SpacesAfter=\n|TokenRange=916:917
213	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	214	obj	_	SpacesAfter=\n|TokenRange=918:921
214	называю	называть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=922:929
215	/	/	PUNCT	_	_	218	punct	_	SpacesAfter=\n|TokenRange=930:931
216	в	в	ADP	_	_	217	case	_	SpacesAfter=\n|TokenRange=932:933
217	самолёте	самолет	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	218	obl	_	SpacesAfter=\n|TokenRange=934:942
218	летите	летить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=943:949
219	/	/	PUNCT	_	_	223	punct	_	SpacesAfter=\n|TokenRange=950:951
220	/	/	PUNCT	_	_	223	punct	_	SpacesAfter=\n|TokenRange=952:953
221	вот	вот	PART	_	_	222	advmod	_	SpacesAfter=\n|TokenRange=954:957
222	вас	вы	PRON	_	Case=Acc|Number=Plur|Person=2	223	obj	_	SpacesAfter=\n|TokenRange=958:961
223	посадили	сажать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=962:970
224	рядом	рядом	ADV	_	Degree=Pos	223	advmod	_	SpacesAfter=\n|TokenRange=971:976
225	/	/	PUNCT	_	_	229	punct	_	SpacesAfter=\n|TokenRange=977:978
226	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	229	nsubj	_	SpacesAfter=\n|TokenRange=979:981
227	ээ	ээ	PRON	_	_	229	nsubj	_	SpacesAfter=\n|TokenRange=982:984
228	по	по	ADP	_	_	229	case	_	SpacesAfter=\n|TokenRange=985:987
229	факту	факт	NOUN	_	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing	158	conj	_	SpacesAfter=\n|TokenRange=988:993
230	/	/	PUNCT	_	_	235	punct	_	SpacesAfter=\n|TokenRange=994:995
231	между	между	ADP	_	_	232	case	_	SpacesAfter=\n|TokenRange=996:1001
232	вами	вы	PRON	_	Case=Ins|Number=Plur|Person=2	235	obl	_	SpacesAfter=\n|TokenRange=1002:1006
233	общего	общий	ADJ	_	Case=Gen|Degree=Pos|Gender=Neut|Number=Sing	265	amod	_	SpacesAfter=\n|TokenRange=1007:1013
234	ничего	ничто	PRON	_	Case=Gen	235	nsubj	_	SpacesAfter=\n|TokenRange=1014:1020
235	может	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	76	conj	_	SpacesAfter=\n|TokenRange=1021:1026
